Timestamp	Battery	Time_ms	Q0	Q1	Q2	Q3	Acc_X	Acc_Y	Acc_Z	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6	Sensor7	Sensor8
2025-02-28 13:54:24	216	107836	3579828928	92205336	718855040	340931360	3962	1142	170	1170	1115	1655	1330	1485	1330	20475	20475
2025-02-28 13:54:24	217	108174	3565509696	103919568	696094208	354198784	3692	1566	350	1160	1030	1385	1150	1215	1265	20475	20475
2025-02-28 13:54:25	217	108630	3581463744	76538992	708766144	368261632	3646	1596	248	1030	1090	1260	1190	1265	1265	20475	20475
2025-02-28 13:54:25	213	108748	3589782144	74226576	705277504	390767968	3618	1768	366	1020	1075	1200	1135	1220	1265	20475	20475
2025-02-28 13:57:17	Data receival has resumed.
2025-02-28 13:57:17	216	109198	3594436480	82107000	702560192	402288512	3640	1604	438	970	1060	1140	1120	1205	1195	20475	20475
2025-02-28 13:57:17	211	280976	3618112576	3994736192	770457024	4189910992	3900	878	-770	1035	855	1280	835	1400	1165	20475	20475
2025-02-28 13:57:18	216	281314	3617188608	4003845536	774150784	4197671576	3914	860	-780	1030	855	1270	830	1395	1165	20475	20475
2025-02-28 13:57:18	216	281426	3616307008	4007080064	774923648	4200384440	3922	848	-750	1030	855	1270	835	1390	1170	20475	20475
2025-02-28 13:57:18	216	281764	3614971520	4015823840	777982592	4209298400	3900	882	-744	1030	855	1270	835	1390	1170	20475	20475
2025-02-28 13:57:18	216	281876	3613925888	4020527008	778788864	4209734464	3940	840	-746	1030	855	1275	830	1390	1160	20475	20475
2025-02-28 13:57:19	216	282107	3607758080	4028533520	776464576	4212681408	3926	862	-634	1025	855	1265	820	1370	1180	20475	20475
2025-02-28 13:57:19	215	282220	3600909440	4032085184	771523136	4212259616	3914	858	-672	1025	860	1280	820	1390	1170	20475	20475
2025-02-28 13:57:19	213	282338	3588605376	4035451168	760334784	4202734848	3984	784	-464	1015	860	1280	845	1445	1160	20475	20475
2025-02-28 13:57:19	214	282563	3565464384	4045854672	738255488	4178095104	4010	648	-202	1010	855	1280	855	1565	1185	20475	20475
